GPS_TIME (ms),LONG (deg),LAT (deg),ELEV (m),SPEED (m/s),SYSTEM_TIME (ms),ACCEL_Y (m/s^2),ACCEL_X (m/s^2),ACCEL_Z (m/s^2),PITCH_RATE (rad/s),ROLL_RATE (rad/s),YAW_RATE (rad/s),PITCH (rad),ROLL (rad),MATH_GRID_X,MATH_GRID_Y,MATH_GRID_Z,MATH_GRID_X_DELTA,MATH_GRID_Y_DELTA,MATH_GRID_X_SPEED,MATH_GRID_Y_SPEED,MATH_GRID_X_ACCEL,MATH_GRID_Y_ACCEL,MATH_DISTANCE_FROM_PREV,MATH_ELAPSED_DISTANCE,MATH_CALC_SPEED,MATH_GNSS_SPEED_LAG,MATH_RADIUS,MATH_RADIUS_DIFFERENTIAL
68967900,-81.857781,41.39959715,236.5,10.21686666,1747595367892,-2.419419765,4.43103981,9.70409584,-0.02185538225,0.009537041187,0.08264873922,0.2569226261,-0.1614150403,677844.4664,-4737763.23,235.7,-8.774771876,-10.61060554,-8.036462702,-6.519738408,-4.078563855,0.3406614052,1.034851302,13.87551892,10.34851302,0.1316463592,45.55421606,0.03578126149
68968000,-81.85779146,41.39959158,236.5,10.53839444,1747595367990,-2.060104311,3.589640737,9.495501518,-0.07456834521,-0.08385822177,0.1818282828,0.2584876953,-0.1664109352,677843.6091,-4737763.856,235.7,-9.632077973,-11.23644854,-8.573060971,-6.258429959,-3.91873058,0.4243697324,1.061439211,14.93695813,10.61439211,0.0759976792,51.29490682,0.0574069076
68968100,-81.85780192,41.399586,236.5,10.85992221,1747595368087,-1.700788856,2.748241663,9.286907196,-0.1272813082,-0.1772534847,0.2810078263,0.2600527645,-0.1714068302,677842.718,-4737764.476,235.7,-10.52316474,-11.85599048,-8.910867651,-6.195419412,-3.642127348,0.4915084397,1.085296199,16.02225433,10.85296199,-0.006960221502,57.41458585,0.06119679028
68968200,-81.85781343,41.39958053,236.45,11.18402221,1747595368193,-1.636855125,0.3500056267,9.193878174,-0.03798071668,-0.05566407368,0.2006705664,0.2393427491,-0.1634281638,677841.7804,-4737765.087,235.65,-11.46082156,-12.46737811,-9.376568227,-6.113876346,-3.459848974,0.4236063743,1.119372662,17.141627,11.19372662,0.009704410046,67.72280022,0.1030821436
68968300,-81.85782493,41.39957505,236.4,11.50812221,1747595368299,-1.572921395,-2.04823041,9.100849152,0.05131987482,0.06592533737,0.1203333065,0.2186327338,-0.1554494975,677840.8124,-4737765.694,235.6,-12.42878367,-13.07468859,-9.679621134,-6.073104823,-3.023626054,0.09336533998,1.142705857,18.28433285,11.42705857,-0.08106364513,94.10970414,0.2638690393
68968400,-81.85783721,41.39956966,236.4,11.73704999,1747595368392,-2.381294072,-2.433455467,10.08502769,0.01906869188,0.09805783257,0.3488657139,0.1985978317,-0.1523695016,677839.8142,-4737766.321,235.6,-13.42705108,-13.70071692,-9.982674045,-6.260283217,-2.523780667,-0.07013759645,1.178324773,19.46265763,11.78324773,0.04619773919,131.9884509,0.3787874675
68968500,-81.85784948,41.39956427,236.4,11.96597777,1747595368485,-3.189666748,-2.818680525,11.06920624,-0.01318249106,0.1301903278,0.5773981214,0.1785629296,-0.1492895057,677838.8031,-4737766.967,235.6,-14.43810787,-14.34768698,-10.11056793,-6.469700625,-2.130552902,-0.8401244726,1.200335828,20.66299345,12.00335828,0.03738051588,398.8455474,2.668570965
68968600,-81.85786176,41.39955785,236.45,12.18461666,1747595368600,-2.091250658,-4.358299375,10.94168091,-0.06599180028,-0.09792410582,0.3634379208,0.1415460068,-0.1553325995,677837.7761,-4737767.632,235.65,-15.4651514,-15.01263358,-10.2704353,-6.649466008,-1.466175267,-1.777764278,1.223508232,21.88650169,12.23508232,0.05046566277,-262.9929219,-6.618384693
68968700,-81.85787403,41.39955143,236.5,12.40325554,1747595368714,-0.992834568,-5.897918224,10.81415558,-0.1188011095,-0.3260385394,0.1494777203,0.1045290839,-0.1613756934,677836.7458,-4737768.317,235.7,-16.49539228,-15.69740997,-10.30240876,-6.8477639,-0.7666734794,-2.627176196,1.237058999,23.12356068,12.37058999,-0.03266555147,-106.1163951,1.568765268
68968800,-81.8578865,41.39954515,236.45,12.52414999,1747595368810,-2.375595331,-5.697089911,9.998664379,-0.1120573245,-0.3275804669,-0.0394256413,0.07239574245,-0.1782036957,677835.7193,-4737769.041,235.65,-17.52187975,-16.42091931,-10.26487469,-7.235093461,-0.0906347553,-3.39207407,1.255843261,24.37940395,12.55843261,0.03428262572,-70.98380089,0.3513259421
68968900,-81.85789897,41.39953887,236.4,12.64504443,1747595368906,-3.758356094,-5.496261597,9.18317318,-0.1053135395,-0.3291223943,-0.2283290029,0.04026240099,-0.195031698,677834.6966,-4737769.78,235.6,-18.54461381,-17.16036662,-10.22734061,-7.394473059,0.7036917799,-4.248447059,1.262048841,25.64145279,12.62048841,-0.02455601895,-50.60556819,0.2037823271
68969000,-81.85791102,41.39953173,236.4,12.83281666,1747595368997,-4.556473017,-6.642945051,8.739105225,0.02681562304,-0.1472706832,-0.1688232161,0.00745736774,-0.2013721797,677833.6862,-4737770.552,235.6,-19.55497553,-17.9320605,-10.10361718,-7.716938807,1.656320103,-4.548971856,1.271354493,26.91280728,12.71354493,-0.1192717291,-42.87328311,0.07732285074
